Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ee.fhir.qre.json	4211	-	0	0	0	0	0	0	7	67	0	0	0	0	0	0	0	1	0	0	48	48	0	0	0	0	1	0	2
fsh-generated/resources/CodeSystem-sagedus-ajas.json	1072	20	0	0	1	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	13	511	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-Questionnaire-PET.json	22618	30	0	0	0	0	0	0	5	97	0	0	0	0	0	0	0	0	0	0	138	74	0	0	0	0	8	0	2
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration-cda.json	136466	44	0	0	0	0	0	0	22	12765	0	0	0	0	0	0	0	1	0	0	1081	148428	0	0	0	0	46	0	11
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration-with-text.json	269958	161	0	0	0	0	0	0	28	5707	0	0	0	0	0	0	0	2	0	0	1839	13036	0	0	0	0	52	0	15
fsh-generated/resources/Questionnaire-Questionnaire-health-declaration.json	223392	75	0	0	0	0	0	0	20	107	0	0	0	0	0	0	0	1	0	0	1772	242565	0	0	0	0	39	0	15
fsh-generated/resources/StructureDefinition-ee-health-declaration-questionnaire.json	5637	24	0	92	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	318	1312	0	0	0	0	14	1	4
fsh-generated/resources/StructureDefinition-pet-questionnaire.json	5352	23	0	66	1	0	0	0	0	47	0	0	0	0	0	0	0	1	0	0	299	527	0	0	0	0	9	0	3
fsh-generated/resources/ValueSet-sagedus-ajas.json	427	20	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	10	68	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1298	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	593	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/download.md	170	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	817	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5776	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0	0
